,year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
0,2014,AK,16,6542,576583,86255,73307,31944,0.370343,18996,12948,1187.25,2.903699175
1,2014,AL,7164,1422937,482573970,67195206,44099887,37745638,0.561731,14650319,23095319,2044.991485,10.29583109
2,2014,AR,17308,5247504,1613298100,126550753,91666855,103788858,0.820136,68904960,34883898,3981.104691,13.13099714
3,2014,AZ,866,589568,253540262,16135962,10496544,18102586,1.121878,12463168,5639418,14391.64896,21.13949197
4,2014,CA,24433,6705373,7302481482,370354002,230346045,426851087,1.152548,286843130,140007957,11739.98813,42.77810198
5,2014,CO,16164,7411673,1220161708,192670594,115286057,166904164,0.866266,89519627,77384537,5538.210035,12.07819436
6,2014,CT,250,23279,28378428,4889040,3017470,2837635,0.580407,966065,1871570,3864.26,41.49942008
7,2014,DE,1699,360797,126197257,11149702,6650270,1220074,0.109426,-3279358,4499432,-1930.169511,-9.089205287
8,2014,FL,5934,2271200,1074070921,72889670,45816356,33188492,0.455325,6115178,27073314,1030.532187,2.692487672
9,2014,GA,15098,2866714,1370174575,151312332,93485426,142240916,0.940048,84414010,57826906,5591.072327,29.44626147
10,2014,HI,106,28983,87924435,1514103,943419,1745810,1.153032,1175126,570684,11086.09434,40.54535417
11,2014,IA,128988,22205693,13289124613,738475557,384986650,1409963637,1.909289,1056474730,353488907,8190.488495,47.57675115
12,2014,ID,6340,2274403,1009263755,67017615,39285923,62310274,0.929759,34578582,27731692,5454.035016,15.20336633
13,2014,IL,124099,19142022,10874611152,679129826,374154758,268735346,0.395705,-36239722,304975068,-292.0226754,-1.8932024
14,2014,IN,47764,9310392,5164987964,376920382,206199443,145478593,0.385966,-25242346,170720939,-528.4805711,-2.711201204
15,2014,KS,120999,18793297,4815645659,669049990,403863815,615168493,0.919465,349982318,265186175,2892.439756,18.62272054
16,2014,KY,18201,3359765,1617929870,149592369,93964267,142279728,0.951116,86651626,55628102,4760.816768,25.79097824
17,2014,LA,8036,2877486,1009145316,81814494,59504111,30366357,0.371161,8055974,22310383,1002.485565,2.799657062
18,2014,MA,491,26439,39036432,3106140,2069324,2692520,0.866837,1655704,1036816,3372.105906,62.62354855
19,2014,MD,4927,931440,326434797,33403117,21000059,7022585,0.210237,-5380473,12403058,-1092.03836,-5.776510564
20,2014,ME,509,125078,86392241,10247802,7159121,2916165,0.284564,-172516,3088681,-338.9312377,-1.379267337
21,2014,MI,23206,4339598,1958587253,178215568,116492161,117138696,0.657286,55415289,61723407,2387.972464,12.76968258
22,2014,MN,82176,17696645,8750340468,656315740,391813147,1395321449,2.125991,1130818856,264502593,13760.93818,63.90018311
23,2014,MO,55017,9235136,3384635254,379982057,243669258,103931032,0.273515,-32381767,136312799,-588.5774761,-3.506366013
24,2014,MS,8187,3723590,1211031139,119279736,85146926,66092775,0.554098,31959965,34132810,3903.745572,8.583105283
25,2014,MT,15619,10421191,1134359829,161214734,98822555,79541116,0.493386,17148937,62392179,1097.953582,1.645583216
26,2014,NC,19796,3733465,1808584827,181498957,115917229,106146493,0.584832,40564765,65581728,2049.139473,10.86517886
27,2014,ND,59576,23430609,5541387552,913613890,598606431,581294755,0.636258,266287296,315007459,4469.707533,11.36493277
28,2014,NE,89747,17643942,7844344945,576903839,318854400,508974912,0.882252,250925473,258049439,2795.920454,14.22162196
29,2014,NH,81,9625,5885102,598104,402571,251619,0.420694,56086,195533,692.4197531,5.827116883
30,2014,NJ,1143,172956,76351851,7094311,5313470,2543313,0.3585,762472,1780841,667.079615,4.408473831
31,2014,NM,1703,3169025,205798844,28959004,18948465,32830053,1.133673,22819514,10010539,13399.59718,7.200799615
32,2014,NV,155,1104279,58879888,7911506,4659826,18246353,2.306305,14994673,3251680,96739.82581,13.57869977
